entity_id,n_records,record_ids,mean_link_confidence,issues,flagged
79,2,"['nypl_1851_1852_doggetts_005968', 'nypl_1851_1852_doggetts_005982']",0.635,[],False
80,2,"['nypl_1851_1852_doggetts_000384', 'nypl_1851_1852_doggetts_000385']",0.57,[],False
81,2,"['nypl_1851_1852_doggetts_001281', 'nypl_1851_1852_doggetts_001282']",0.52,[],False
82,2,"['nypl_1851_1852_doggetts_002814', 'nypl_1851_1852_doggetts_002817']",0.565,[],False
83,2,"['nypl_1851_1852_doggetts_000761', 'nypl_1851_1852_doggetts_000763']",0.555,[],False
84,2,"['nypl_1851_1852_doggetts_002756', 'nypl_1851_1852_doggetts_003093']",0.71,[],False
85,2,"['nypl_1851_1852_doggetts_000259', 'nypl_1851_1852_doggetts_000260']",0.58,[],False
86,2,"['nypl_1851_1852_doggetts_001269', 'nypl_1851_1852_doggetts_001278']",0.54,[],False
87,2,"['nypl_1851_1852_doggetts_001102', 'nypl_1851_1852_doggetts_001471']",0.64,[],False
88,2,"['nypl_1851_1852_doggetts_002337', 'nypl_1851_1852_doggetts_004760']",0.52,[],False
89,2,"['nypl_1851_1852_doggetts_004665', 'nypl_1851_1852_doggetts_004741']",0.625,[],False
90,2,"['nypl_1851_1852_doggetts_001518', 'nypl_1851_1852_doggetts_006415']",0.555,[],False
91,2,"['nypl_1851_1852_doggetts_000942', 'nypl_1851_1852_doggetts_004707']",0.555,[],False
92,2,"['nypl_1851_1852_doggetts_002853', 'nypl_1851_1852_doggetts_002860']",0.565,[],False
93,2,"['nypl_1851_1852_doggetts_007743', 'nypl_1851_1852_doggetts_007744']",0.555,[],False
94,2,"['nypl_1851_1852_doggetts_003636', 'nypl_1851_1852_doggetts_003791']",0.565,[],False
95,2,"['nypl_1851_1852_doggetts_003897', 'nypl_1851_1852_doggetts_006720']",0.775,[],False
96,2,"['nypl_1851_1852_doggetts_002896', 'nypl_1851_1852_doggetts_002922']",0.52,[],False
97,2,"['nypl_1851_1852_doggetts_000543', 'nypl_1851_1852_doggetts_000545']",0.515,[],False
98,2,"['nypl_1851_1852_doggetts_003297', 'nypl_1851_1852_doggetts_004208']",0.73,[],False
99,2,"['nypl_1851_1852_doggetts_002894', 'nypl_1851_1852_doggetts_002949']",0.52,[],False
100,2,"['nypl_1851_1852_doggetts_002705', 'nypl_1851_1852_doggetts_003352']",0.66,['conflicting_occupation'],True
101,2,"['nypl_1851_1852_doggetts_000390', 'nypl_1851_1852_doggetts_004944']",0.925,[],False
